"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","in_reply_to_screen_name"
"Wed Nov 13 01:02:11 +0000 2024","1856502787930050927","https://t.co/Vnk4MCAofY","17567","45082","105028","834969","zxx","44196397","1856502787930050927","elonmusk","https://x.com/elonmusk/status/1856502787930050927","https://pbs.twimg.com/media/GcOfcj2WEAAKp7Q.jpg","",""
"Wed Nov 13 00:59:38 +0000 2024","1856502145534570611","Preview of Elon and Vivek working at DOGE (Department of Government Efficiency): https://t.co/IP uqDOilg","883","1118","12240","92452","en","1552795969959636992","1856502145534570611","EndWokeness","https://x.com/EndWokeness/status/1856502145534570611","https://pbs.twimg.com/amplify_video_thumb/1856501917792215040/img/91ypx-nAOYGgslgy.jpg","",""
"Wed Nov 13 19:36:39 +0000 2024","1856783252071354727","Working overtime to ensure your tax dollars will be spent wisely!","4853","17083","26993","219780","en","1856751787644260354","1856783252071354727","DOGE","https://x.com/DOGE/status/1856783252071354727","","",""
"Thu Nov 14 05:03:20 +0000 2024","1856925863725412706","@SenWarren nlike you neither of us are being paid so it is very efficient indeed. @DOGE will do great things for the American people. Let history be the judge.","316","1332","4091","36883","en","44196397","1856541693836734783","elonmusk","https://x.com/elonmusk/status/1856925863725412706","","","SenWarren"
"Thu Nov 14 06:06:01 +0000 2024","1856941638943121837"," I want no pay no awards no recognition or fancy title. I just want America to reach greater heights. 一 Elon Musk https://t.co/Dcv4irEpDu","229","1024","5744","38616","en","1389913567671975937","1856941638943121837","cb_doge","https://x.com/cb_doge/status/1856941638943121837","https://pbs.twimg.com/media/GcUukuBbkAA8pBb.jpg","Dogecoin.com",""
"Sun Nov 10 08:17:06 +0000 2024","1855525073089626342"," I'm the largest individual taxpayer in history so I paid $1 billion in tax. I sort of thought maybe the IRS would send me a little trophy or something but I didn't get anything. Not even a cookie. 一 Elon Musk https://t.co/rypLDuWt5D","196","797","5215","31846","en","1389913567671975937","1855525073089626342","cb_doge","https://x.com/cb_doge/status/1855525073089626342","https://pbs.twimg.com/amplify_video_thumb/1850358268670935041/img/qlDoRJG445U_xE38.jpg","Dogecoin.com",""
"Thu Nov 14 02:03:32 +0000 2024","1856880614370414762","马斯克上任美国政府效率部门（DOGE）后的第一天。 https://t.co/ nD4IbdNNt","25","110","229","1496","zh","51904755","1856880614370414762","Morris_LT","https://x.com/Morris_LT/status/1856880614370414762","https://pbs.twimg.com/ext_tw_video_thumb/1856880282781323266/pu/img/AHHiyV4kqHZVy3tA.jpg","",""
"Wed Nov 13 19:49:23 +0000 2024","1856786457698210131","It begins","1015","9852","24475","222898","en","44196397","1856786457698210131","elonmusk","https://x.com/elonmusk/status/1856786457698210131","","",""
"Thu Nov 14 12:15:30 +0000 2024","1857034620568469543","DOGE is going to look into whether it's possible for one agent to just carry the log the whole way https://t.co/xFpWFGyXBI","26","85","158","1528","en","36996328","1857034620568469543","jeremykauffman","https://x.com/jeremykauffman/status/1857034620568469543","https://pbs.twimg.com/ext_tw_video_thumb/1847026164985962496/pu/img/LpwdIdCZM5dsbkIV.jpg","The Free State",""
"Wed Nov 13 17:35:18 +0000 2024","1856752713884954938","DOGECOIN","21","180","408","5131","en","1448728157222162438","1856752713884954938","MyDoge","https://x.com/MyDoge/status/1856752713884954938","","",""
"Wed Nov 13 02:36:24 +0000 2024","1856526499865575750","Government employees after the DOGE sends them to the private sector https://t.co/mHS5nufVEb","24","92","306","7452","en","35647451","1856526499865575750","TurnerNovak","https://x.com/TurnerNovak/status/1856526499865575750","https://pbs.twimg.com/amplify_video_thumb/1759092258765217792/img/w_RPjgp13wZ6AR4K.jpg","Ann Arbor, MI   DM’s open",""
"Wed Nov 13 16:04:59 +0000 2024","1856729985782075838","Elon and Vivek showing up as DOGE day 1 https://t.co/IurZCMl45P","27","21","720","7470","en","2446162202","1856729985782075838","MattsIdeaShop","https://x.com/MattsIdeaShop/status/1856729985782075838","https://pbs.twimg.com/amplify_video_thumb/1856729823973986304/img/w2KVl7f3pSPzeopu.jpg","Earth",""
